                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.0738,                0.43806,                0.64752,                 1.2744,                0.98148,                      1,                  0.995,                0.70416,                0.98148,                      1,                  0.995,                0.67437,                 1.1564,                0.25796,                0.55098,                  1.448,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0463,                0.34171,                0.56918,                 1.3078,                0.98384,                      1,                  0.995,                0.68495,                0.98384,                      1,                  0.995,                0.65032,                  1.174,                0.25828,                0.55448,                 1.4708,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0604,                0.39665,                0.57279,                 1.3272,                0.99161,                      1,                  0.995,                0.68889,                0.99161,                      1,                  0.995,                0.66708,                   1.18,                0.25765,                0.55688,                 1.4647,               0.000218,               0.000218,               0.000218
                     93,                 1.0305,                0.52032,                0.53226,                 1.2996,                0.97688,                      1,                  0.995,                0.68621,                0.97688,                      1,                  0.995,                0.64729,                 1.1897,                0.25708,                0.55409,                 1.4728,              0.0001982,              0.0001982,              0.0001982
                     94,                0.92604,                0.46805,                0.48967,                 1.1753,                0.97947,                      1,                  0.995,                0.68065,                0.97947,                      1,                  0.995,                0.65084,                 1.1992,                0.25704,                0.54984,                 1.4899,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.0136,                0.38938,                0.54592,                 1.2794,                0.98074,                      1,                  0.995,                0.68645,                0.98074,                      1,                  0.995,                0.66448,                 1.2042,                0.25734,                 0.5442,                 1.4909,              0.0001586,              0.0001586,              0.0001586
                     96,                0.91268,                0.40369,                0.50575,                  1.189,                0.98326,                      1,                  0.995,                0.65827,                0.98326,                      1,                  0.995,                0.66803,                 1.2057,                0.25954,                0.54698,                 1.4916,              0.0001388,              0.0001388,              0.0001388
                     97,                0.91762,                0.38767,                0.47116,                 1.2063,                0.98431,                      1,                  0.995,                0.68219,                0.98431,                      1,                  0.995,                0.66622,                 1.1949,                0.25956,                0.54645,                 1.4925,               0.000119,               0.000119,               0.000119
                     98,                0.93056,                0.38719,                0.51384,                 1.2249,                0.98491,                      1,                  0.995,                 0.6931,                0.98491,                      1,                  0.995,                0.66831,                 1.1798,                0.25977,                0.53916,                 1.4852,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.93664,                0.43154,                0.47922,                 1.1821,                0.99111,                      1,                  0.995,                0.68428,                0.99111,                      1,                  0.995,                 0.6674,                 1.1709,                0.25972,                0.54539,                 1.4846,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.96792,                0.38644,                0.50953,                 1.2716,                0.98404,                      1,                  0.995,                0.68384,                0.98404,                      1,                  0.995,                0.67388,                 1.1643,                 0.2595,                0.54288,                 1.4865,               5.96e-05,               5.96e-05,               5.96e-05
